"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"s__Bifidobacterium_pseudolongum","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_pseudolongum"
"s__Bifidobacterium_pullorum","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_pullorum"
"s__Bifidobacterium_saeculare","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_saeculare"
"s__Bifidobacterium_scardovii","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_scardovii"
"s__Gardnerella_vaginalis","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella","Gardnerella_vaginalis"
"s__Parascardovia_denticolens","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Parascardovia","Parascardovia_denticolens"
"s__Scardovia_inopinata","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia","Scardovia_inopinata"
"s__Scardovia_wiggsiae","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia","Scardovia_wiggsiae"
"s__Corynebacterium_accolens","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_accolens"
"s__Corynebacterium_amycolatum","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_amycolatum"
"s__Corynebacterium_argentoratense","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_argentoratense"
"s__Corynebacterium_durum","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_durum"
"s__Corynebacterium_glutamicum","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_glutamicum"
"s__Corynebacterium_kroppenstedtii","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_kroppenstedtii"
"s__Corynebacterium_matruchotii","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_matruchotii"
