sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
SRR5935852,SRR5935852,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935852_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935852_2.fastq.gz,
SRR5935853,SRR5935853,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935853_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935853_2.fastq.gz,
SRR5935854,SRR5935854,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935854_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935854_2.fastq.gz,
SRR5935855,SRR5935855,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935855_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935855_2.fastq.gz,
SRR5935856,SRR5935856,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935856_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935856_2.fastq.gz,
SRR5935857,SRR5935857,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935857_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935857_2.fastq.gz,
SRR5935858,SRR5935858,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935858_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935858_2.fastq.gz,
SRR5935859,SRR5935859,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935859_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935859_2.fastq.gz,
SRR5935860,SRR5935860,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935860_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935860_2.fastq.gz,
SRR5935861,SRR5935861,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935861_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935861_2.fastq.gz,
SRR5935862,SRR5935862,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935862_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935862_2.fastq.gz,
