sample,run,instrument,fastq_1,fastq_2
SRR5935837,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935837_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935837_2.fastq.gz
SRR5935838,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935838_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935838_2.fastq.gz
SRR5935839,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935839_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935839_2.fastq.gz
SRR5935840,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935840_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935840_2.fastq.gz
SRR5935841,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935841_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935841_2.fastq.gz
SRR5935842,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935842_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935842_2.fastq.gz
SRR5935843,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935843_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935843_2.fastq.gz
SRR5935844,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935844_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935844_2.fastq.gz
SRR5935845,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935845_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935845_2.fastq.gz
SRR5935846,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935846_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935846_2.fastq.gz
SRR5935847,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935847_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935847_2.fastq.gz
SRR5935848,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935848_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935848_2.fastq.gz
SRR5935849,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935849_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935849_2.fastq.gz
SRR5935850,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935850_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935850_2.fastq.gz
SRR5935851,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935851_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935851_2.fastq.gz
